state,new_state,action,reward
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,1,2,0.0
1,4,1,0.0
4,5,2,0.0
0,0,0,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,1,2,0.0
1,4,1,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,1,2,0.0
1,4,1,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,1,2,0.0
1,4,1,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,3,0,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,0.0
0,0,3,0.0
0,1,2,0.0
1,4,1,0.0
4,5,2,100.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,0,3,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,1,2,0.0
1,1,3,0.0
1,4,1,0.0
4,5,2,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,6,1,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,0,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,3,0,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,3,3,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,0,3,0.0
0,0,0,0.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,4,2,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,0,0,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,1,2,0.0
1,4,1,0.0
4,5,2,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,6,1,0.0
6,6,1,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,3,0,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,0,3,0.0
0,3,1,0.0
3,6,1,0.0
6,3,3,0.0
3,6,1,0.0
6,6,0,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,3,1,0.0
3,6,1,0.0
6,7,2,100.0
0,1,2,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
1,1,3,0.0
